source,content,content_type,job_title,company,location,extracted_skills,primary_skills,skill_focus,experience_level_annotated,question_type_annotated,difficulty_level,content_complexity,skill_diversity,profile_strength,skill_count
timesjobs,"Software Developer will be responsible for Analysis of requirements , implementation , testing and documentation of Automotive Software components . canoe microcontroller embedded c i2c embedded software engineer Embedded Software Engineer  Software Engineer",job_description,Embedded Software Engineer  Software Engineer,BHTC India Pvt Ltd,Remote,['r'],r,,junior,,,low,,,1.0
timesjobs,Company Description Blueberry Digital Labs ( www.blueberrylabs.com ) is a leading young and dynamic integrated digital technology Company with a por. html5 problem solving javascript php mysql Senior Software Engineer  Software Engineer,job_description,Senior Software Engineer  Software Engineer,BLUEBERRY LABS PRIVATE LIMITED,Remote,"['java', 'r', 'git', 'mysql', 'javascript', 'html', 'php']","java, r, git, mysql, javascript",,senior,,,medium,,,7.0
timesjobs,Work side-by-side with a mentor ( Lead Software Engineer  Engineering Manager ) to help you accomplish team goals and grow together as a person.c. software engineering problem solving api development database management version control github rdbms java postgresql devops mysql Software Engineer,job_description,Software Engineer,Indodana,Remote,"['java', 'r', 'git', 'mysql', 'postgresql', 'go']","java, r, git, mysql, postgresql",,senior,,,medium,,,6.0
timesjobs,"Are you looking for a unique opportunity to be a part of something great? Want to join a 17 , 000-member team that works on the technology that powers. c programming object oriented programming linux environment shell scripting fpga development algorithms oop git software engineer data structures tcl python svn infrastructure management systems clearcase Intern Software Engineer",job_description,Intern Software Engineer,MICROCHIP TECHNOLOGY PRIVATE LIMITED,Remote,"['python', 'r', 'git', 'go']","python, r, git, go",,mid,,,medium,,,4.0
timesjobs,"Job Requisition ID25WD91675Position OverviewWe are searching for Software Engineering Interns to join us for the summer of 2026 in Oslo and contribute. software development machine learning cloud computing web frameworks agile methodologies software engineering Intern , Software Engineer",job_description,"Intern , Software Engineer",autodesk india pvt ltd,Remote,"['r', 'machine learning']","r, machine learning",,junior,,,low,,,2.0
timesjobs,"Job Requisition ID25WD91327Position OverviewAutodesk is a global leader in 3D design , engineering , and entertainment software. The work we do at A. java development spring boot aws infrastructure agile methodologies react frontend rest javascript node.js consultant Intern , Software Engineer",job_description,"Intern , Software Engineer",autodesk india pvt ltd,Remote,"['node.js', 'java', 'react', 'r', 'aws', 'spring', 'javascript']","node.js, java, react, r, aws",,senior,,,medium,,,7.0
timesjobs,Qualification Regular B.Tech  MCA  MSC ( CS  IT )  BE Degree Job Location Noida Experience Fresher Technology  Skills Multiple technologies Trai. java php software engineer Software Engineer-Trainee,job_description,Software Engineer-Trainee,Suretek Infosoft Pvt. Ltd.,Remote,"['java', 'php', 'r']","java, php, r",,junior,,,low,,,3.0
timesjobs,"Job Description Knowledge of Microsoft asp.net , c , MVC.netHave basic knowledge of SQL QueryWorking knowledge of Visual Studio 2017 or AboveBasic . c css html5 javascript jquery sql visual studio c .net asp.net .net html web api mvc angularjs Trainee Software Engineer",job_description,Trainee Software Engineer,VISION EDUCARE and IT SOLUTION PRIVATE LIMITED,Remote,"['java', 'css', 'r', 'angular', 'javascript', 'html', 'jquery']","java, css, r, angular, javascript",,mid,,,medium,,,7.0
manual_collection,What is the difference between abstract class and interface in Java?,interview_question,,,Remote,,,"java, r",,conceptual,intermediate,,,,
manual_collection,What are design patterns and give examples?,interview_question,,,Remote,,,r,,general,advanced,,,,
manual_collection,What is the difference between authentication and authorization?,interview_question,,,Remote,,,r,,conceptual,intermediate,,,,
manual_collection,Explain the concept of polymorphism in object-oriented programming,interview_question,,,Remote,,,r,,technical,beginner,,,,
manual_collection,How does garbage collection work in Java?,interview_question,,,Remote,,,"java, r",,conceptual,advanced,,,,
manual_collection,What is the difference between SQL and NoSQL databases?,interview_question,,,Remote,,,r,,technical,advanced,,,,
manual_collection,Describe the SOLID principles of software design,interview_question,,,Remote,,,r,,general,advanced,,,,
manual_collection,What is the time complexity of quicksort algorithm?,interview_question,,,Remote,,,"r, go",,technical,intermediate,,,,
manual_collection,"Security Engineer focused on application security, penetration testing, and vulnerability assessment. Certified in CISSP and CEH.",resume_summary,,,Remote,['r'],,,senior,,,,1.0,basic,
manual_collection,Product Manager with technical background in software development. Led cross-functional teams to deliver products with 95 user satisfaction.,resume_summary,,,Remote,['r'],,,junior,,,,1.0,basic,
manual_collection,"Software Engineer with 3 years experience in Java, Spring Boot, and microservices. Developed scalable web applications serving 100K users.",resume_summary,,,Remote,"['java', 'scala', 'r', 'spring']",,,senior,,,,3.0,moderate,
manual_collection,"Database Administrator specialized in MySQL, PostgreSQL, and Oracle. Optimized database performance improving query speed by 40.",resume_summary,,,Remote,"['oracle', 'r', 'postgresql', 'mysql']",,,mid,,,,2.0,moderate,
manual_collection,"Data Scientist with strong background in statistics, machine learning, and data visualization. Proficient in Python, R, and SQL.",resume_summary,,,Remote,"['python', 'r', 'machine learning']",,,junior,,,,2.0,moderate,
manual_collection,Cloud Architect with AWS and Azure certifications. Designed and implemented scalable cloud infrastructure for enterprise applications.,resume_summary,,,Remote,"['r', 'scala', 'azure', 'aws']",,,junior,,,,3.0,moderate,
manual_collection,"Python Developer with expertise in Django, Flask, and data analysis. Experience in machine learning and AI model development.",resume_summary,,,Remote,"['django', 'r', 'flask', 'python', 'go', 'machine learning']",,,junior,,,,3.0,strong,
manual_collection,"Full Stack Developer proficient in React, Node.js, and MongoDB. Built responsive web applications with modern UIUX design principles.",resume_summary,,,Remote,"['node.js', 'react', 'r', 'mongodb', 'go']",,,mid,,,,4.0,moderate,
